ID,Label,Type,Image,birthPlaceLabel,birthCountryLabel,deathPlaceLabel,deathCountryLabel,Samengestelde werkplaatsen,Samengestelde woonplaatsen,Bijhorendland,BijhorendlandLabel
Q115844439,Gustaaf Carton,Person,,Wingene,België,Wingene,België,,,,
Q115813555,Gustaaf Janssens,Person,,Mechelen,België,Brussel,België,,,,
Q115835763,Gustaaf Van de Putte,Person,,Izegem,België,Ardooie,België,,,,
Q122872984,Gustaaf Verheust-Dekeyser,Person,,Izegem,België,Rochester,Verenigde Staten,,,,
Q2190493,Gustaaf Verriest,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Gustaaf%20Louise%20Oda%20Hugo%20Verriest%20in%201861.jpg,Deerlijk,België,Saint-Cloud,Frankrijk,,,,
Q115837646,Gustaf François Marie Van Mullem,Person,,Sijsele,België,Assebroek,België,,,,
Q115838249,Gustaf Vandendries,Person,,Veurne,België,Outrijve,België,,,,
Q115818541,Gustave Delescluze,Person,,Brugge,België,Kortrijk,België,,,,
Q2496044,Gustave Henri Flamen,Person,,Brussel,België,Brugge,België,,,,
Q2191260,Gustave Waffelaert,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Gustaaf%20Jozef%20Waffelaert%20-%2022ste%20bisschop%20van%20Brugge%20-%20Belgi%C3%AB.jpg,Rollegem,België,Brugge,België,,,,
Q122971559,Gustavus Henricus Jochem,Person,,Tielt,België,Geluwe,België,,,,
Q125541827,Heinrich Hubert Schmitz,Person,,Bonn,Duitsland,,,,,,
Q116508871,Helena Amelia Walton,Person,,Londen,Verenigd Koninkrijk,Engeland,Verenigd Koninkrijk,,,,
Q125360612,Heloise Geneviève Gruselle,Person,,,,,,,,,
Q119794240,Hendrik Berghman,Person,,Ieper,België,Dundalk,Ierland,,,,
Q87648661,Hendrik Brinck,Person,,Brussel,België,Kortrijk,België,,,,
Q119860278,Hendrik Claes,Person,,Antwerpen,België,Antwerpen,België,,,,
Q378133,Hendrik Conscience,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Hendrik%20Conscience.jpg,Antwerpen,België,Elsene,België,,,,
Q136760074,Hendrik Depoorter,Person,,Emelgem,België,Sint-Kruis,België,,,,
Q120377148,Hendrik Dobbelaere,Person,,Lo,België,Lo,België,,,,
Q113627806,Hendrik Karel Van Doorne,Person,,Poeke,België,Poeke,België,,,,
Q571426,Hendrik Kern,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Hendrik%20Caspar%20Kern.jpg,Purworejo,Indonesië,Utrecht,Nederland,,,,
Q115815004,Hendrik Mortier,Person,,Ieper,België,Kortrijk,België,,,,
Q114081509,Hendrik Persyn,Person,,Wingene,België,Wingene,België,,,,
Q11029222,Hendrik Pickery,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Hendrik%20Pickery%20gedenkteken%20R03.jpg,Brugge,België,Brugge,België,,,,
Q115840228,Hendrik Prévost,Person,,Sint-Winoksbergen,Frankrijk,Kortrijk,België,,,,
Q94896539,Hendrik Q. Janssen,Person,,Sint Anna ter Muiden,Nederland,Goes,Nederland,,,,
Q3431564,Hendrik Sermon,Person,,Sint-Pieters-Leeuw,België,Borgerhout,België,,,,
Q115840173,Hendrik Van Witberghe,Person,,Izegem,België,Gent,België,,,,
Q115839965,Hendrik Vandendriessche,Person,,Otegem,België,Aalbeke,België,,,,
Q123416074,Henri Delbaere,Person,,Ingooigem,België,Danville,Verenigde Staten,,,,
Q110039252,Henri Delbar,Person,,Moeskroen,België,Menen,België,,,,
Q123717111,Henri Dufour,Person,,Pittem,België,Brugge,België,,,,
Q115834868,Henri Louis Joseph Messiaen,Person,,Ten Brielen,België,Westkerke,België,,,,
Q3346571,Henri Nolf,Person,,,,,,,,,
Q3032807,Henri Rommel,Person,,Rumbeke,België,Brugge,België,,,,
Q125559890,Henri Van De Wattyne,Person,,Biervliet,Nederland,Gent,België,,,,
Q115827696,Henricus Blancke,Person,,Wontergem,België,Gent,België,,,,
Q115979994,Henricus De Badts,Person,,Poperinge,België,Dudzele,België,,,,
Q125246358,Henricus De Vriese,Person,,Wingene,België,Wingene,België,,,,
Q120199426,Henry Edwin Harford,Person,,Manchester,Verenigd Koninkrijk,Londen,Verenigd Koninkrijk,,,,
Q1978131,Hilaris Allaeys,Person,,Woesten,België,Antwerpen,België,,,,
Q28973684,Hippoliet Haerynck,Person,,Keiem,België,Vorst,België,,,,
Q119625198,Hippoliet Verhulst,Person,,,,,,,,,
Q115982426,Honoratus Van Wezemael,Person,,Sinaai,België,Gent,België,,,,
Q115821479,Honoré Cardoen,Person,,Wervik,België,Spiere,België,,,,
Q118732552,Hortense Delbaere,Person,,Aalbeke,België,Kortrijk,België,,,,
Q117244596,Hortense Gezelle,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20van%20Hortense%20Gezelle.jpg,Brugge,België,Loppem,België,,,,
Q981444,Hugo Verriest,Person,http://commons.wikimedia.org/wiki/Special:FilePath/HugoVerriest.jpg,Deerlijk,België,Ingooigem,België,,,,
Q117264774,Hélène Janssens,Person,,Sint-Niklaas,België,Brugge,België,,,,
Q5983066,Ian Theodor Beelen,Person,,Amsterdam,Nederland,Leuven,België,,,,
Q55672664,Ignace de Coussemaker,Person,,Belle,Frankrijk,Belle,Frankrijk,,,,
Q129069726,Isabelle Marie de Proli,Person,,Essen,België,Kortrijk,België,,,,
Q115818849,Isidoor Hemeryck,Person,,Beveren,België,Leuven,België,,,,
Q2627945,Isidoor Teirlinck,Person,,Zegelsem,België,Vorst,België,,,,
Q115827506,Isidoor Van Cleemput,Person,,Waasmunster,België,Meigem,België,,,,
Q115980044,Isidoor Verdoodt,Person,,Opwijk,België,Mortsel,België,,,,
Q115982548,Isidorus Fraeys,Person,,Roeselare,België,Aarsele,België,,,,
Q20604626,J.H.J. van Wageningen thoe Dekema,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20van%20Wageningen%20thoe%20Dekema.jpg,Leeuwarden,Nederland,Jelsum,Nederland,,,,
Q110039260,Jacob Lenaerts,Person,,Zonhoven,België,Landen,België,,,,
Q961180,Jacob Verdam,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Jacob%20Verdam%2C%20hoogleraar%20Nederlandse%20Taal%20te%20Leiden%20Icones%20298.tiff,Amsterdam,Nederland,Leiden,Nederland,,,,
