source,sourceLabel,target,targetLabel,relationshipType
http://www.wikidata.org/entity/Q115807960,Remigius De Ryckere,http://www.wikidata.org/entity/Q2681034,Emelgem,Woonplaats
http://www.wikidata.org/entity/Q115807960,Remigius De Ryckere,http://www.wikidata.org/entity/Q2681034,Emelgem,Geboorteplaats
http://www.wikidata.org/entity/Q115807960,Remigius De Ryckere,http://www.wikidata.org/entity/Q2681034,Emelgem,Sterfteplaats
http://www.wikidata.org/entity/Q115807960,Remigius De Ryckere,http://www.wikidata.org/entity/Q1223,Washington,Woonplaats
http://www.wikidata.org/entity/Q115807960,Remigius De Ryckere,http://www.wikidata.org/entity/Q1223,Washington,Werklocatie
http://www.wikidata.org/entity/Q123722465,Renaat Joye,http://www.wikidata.org/entity/Q2041336,Woumen,Geboorteplaats
http://www.wikidata.org/entity/Q123722465,Renaat Joye,http://www.wikidata.org/entity/Q2041336,Woumen,Sterfteplaats
http://www.wikidata.org/entity/Q123722465,Renaat Joye,http://www.wikidata.org/entity/Q2041336,Woumen,Werklocatie
http://www.wikidata.org/entity/Q2963326,Reninge,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q119699762,René Frans Adriaens,http://www.wikidata.org/entity/Q184287,Zedelgem,Werklocatie
http://www.wikidata.org/entity/Q119699762,René Frans Adriaens,http://www.wikidata.org/entity/Q184287,Zedelgem,Geboorteplaats
http://www.wikidata.org/entity/Q119699762,René Frans Adriaens,http://www.wikidata.org/entity/Q184287,Zedelgem,Sterfteplaats
http://www.wikidata.org/entity/Q2087117,René Vermandere,http://www.wikidata.org/entity/Q12892,Antwerpen,Sterfteplaats
http://www.wikidata.org/entity/Q2087117,René Vermandere,http://www.wikidata.org/entity/Q834850,Borgerhout,Werklocatie
http://www.wikidata.org/entity/Q2087117,René Vermandere,http://www.wikidata.org/entity/Q12995,Kortrijk,Geboorteplaats
http://www.wikidata.org/entity/Q2087117,René Vermandere,http://www.wikidata.org/entity/Q12995,Kortrijk,Werklocatie
http://www.wikidata.org/entity/Q115817263,René van Honsebrouck,http://www.wikidata.org/entity/Q12892,Antwerpen,Sterfteplaats
http://www.wikidata.org/entity/Q115817263,René van Honsebrouck,http://www.wikidata.org/entity/Q12994,Brugge,Werklocatie
http://www.wikidata.org/entity/Q115817263,René van Honsebrouck,http://www.wikidata.org/entity/Q2181673,Koolskamp,Werklocatie
http://www.wikidata.org/entity/Q115817263,René van Honsebrouck,http://www.wikidata.org/entity/Q2091146,Werken,Geboorteplaats
