source,target,Type,Weight,relationshipType
Q115979418,Q2127148,Undirected,1,Werklocatie
Q115979418,Q2314278,Undirected,1,Werklocatie
Q115979418,Q822777,Undirected,1,Werklocatie
Q115979418,Q499588,Undirected,1,Werklocatie
Q115979418,Q651811,Undirected,1,Werklocatie
Q115979418,Q244513,Undirected,1,Geboorteplaats
Q115821483,Q12995,Undirected,1,Sterfteplaats
Q115821483,Q12995,Undirected,1,Werklocatie
Q115821483,Q650376,Undirected,1,Werklocatie
Q115821483,Q499588,Undirected,1,Werklocatie
Q115821483,Q499588,Undirected,1,Geboorteplaats
Q115821483,Q651811,Undirected,1,Werklocatie
Q2580620,Q12892,Undirected,1,Geboorteplaats
Q2580620,Q12892,Undirected,1,Werklocatie
Q2580620,Q12994,Undirected,1,Werklocatie
Q2580620,Q58780,Undirected,1,Werklocatie
Q2580620,Q118958,Undirected,1,Werklocatie
Q2580620,Q118958,Undirected,1,Sterfteplaats
Q119013806,Q12994,Undirected,1,Geboorteplaats
Q119013806,Q12994,Undirected,1,Sterfteplaats
Q2298746,Q12994,Undirected,1,Sterfteplaats
Q2298746,Q1296,Undirected,1,Geboorteplaats
Q2298746,Q724638,Undirected,1,Werklocatie
Q2298746,Q118958,Undirected,1,Werklocatie
Q2298746,Q162022,Undirected,1,Werklocatie
Q2298746,Q1999262,Undirected,1,Werklocatie
Q2450554,Q12994,Undirected,1,Geboorteplaats
Q2450554,Q12994,Undirected,1,Werklocatie
Q2450554,Q12994,Undirected,1,Sterfteplaats
Q2450554,Q211037,Undirected,1,Werklocatie
Q11071766,Q29520,Undirected,1,Woonplaats
Q11071766,Q29520,Undirected,1,Sterfteplaats
Q11071766,Q142,Undirected,1,Geboorteplaats
Q11071766,Q383912,Undirected,1,Woonplaats
Q11071766,Q23666,Undirected,1,Woonplaats
Q11071766,Q1018423,Undirected,1,Woonplaats
Q11071766,Q737077,Undirected,1,Geboorteplaats
Q661993,Q31,Undirected,1,In Land
Q448840,Q31,Undirected,1,In Land
Q2099446,Q1296,Undirected,1,Sterfteplaats
Q2099446,Q391294,Undirected,1,Geboorteplaats
Q2099446,Q268219,Undirected,1,Werklocatie
Q2099446,Q13127,Undirected,1,Werklocatie
Q3421496,Q3040923,Undirected,1,Werklocatie
Q3421496,Q3040923,Undirected,1,Woonplaats
Q3421496,Q1021018,Undirected,1,Werklocatie
Q3421496,Q1021018,Undirected,1,Woonplaats
Q3421496,Q15238339,Undirected,1,Werklocatie
Q3421496,Q13123333,Undirected,1,Sterfteplaats
Q3421496,Q13123333,Undirected,1,Woonplaats
Q3421496,Q648,Undirected,1,Woonplaats
Q3421496,Q211037,Undirected,1,Werklocatie
Q3421496,Q3110832,Undirected,1,Werklocatie
Q3421496,Q184287,Undirected,1,Geboorteplaats
Q970036,Q1296,Undirected,1,Sterfteplaats
Q970036,Q780561,Undirected,1,Geboorteplaats
Q2481707,Q2488256,Undirected,1,Geboorteplaats
Q2481707,Q1296,Undirected,1,Werklocatie
Q2481707,Q1296,Undirected,1,Sterfteplaats
Q136750770,Q2085862,Undirected,1,Werklocatie
Q136750770,Q12995,Undirected,1,Werklocatie
