ID,Label,Type,Image,birthPlaceLabel,copybirthplace,coordinate location,coordinate location 1,Final Latitude,coordinate location 2,Final Longitude,birthCountryLabel,deathPlaceLabel,deathCountryLabel,Samengestelde werkplaatsen,Samengestelde woonplaatsen,Bijhorendland,BijhorendlandLabel,CopyID,Latitude,Longitude
Q115979418,Aloysius Vandemaele,Person,,Zwevegem,Zwevegem,"50.8,3.3333333333333",50.8,50.8,3.3333333333333,3.3333333333333,België,Asper,België,,,,,Q115979418,,
Q115821483,Aloïs Baelen,Person,,Poperinge,Poperinge,"50.8547,2.7256",50.8547,50.8547,2.7256,2.7256,België,Kortrijk,België,,,,,Q115821483,,
Q2580620,Aloïs Nelis,Person,,Antwerpen,Province of Antwerp,"51.216666666667,4.4166666666667",51.216666666667,51.216666666667,4.4166666666667,4.4166666666667,België,Leuven,België,,,,,Q2580620,,
Q119013806,Aloïs Van de Pitte,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Brugge,België,,,,,Q119013806,,
Q2298746,Aloïs Walgrave,Person,,Gent,Ghent,"51.05361111111111,3.725277777777778",51.05361111111111,51.05361111111111,3.725277777777778,3.725277777777778,België,Brugge,België,,,,,Q2298746,,
Q2450554,Alphonse De Leyn,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Brugge,België,,,,,Q2450554,,
Q11071766,Alphonse de Voss,Person,,Mesen,Mesen,"50.766666666667,2.9",50.766666666667,50.766666666667,2.9,2.9,België,China,,,,,,Q11071766,,
Q11071766,Alphonse de Voss,Person,,Frankrijk,France,"47,2",47,47,2,2,Frankrijk,China,,,,,,Q11071766,,
Q2099446,Amaat Joos,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Amaat%20Joos.jpg,Hamme,Hamme,"51.0919,4.1356",51.0919,51.0919,4.1356,4.1356,België,Gent,België,,,,,Q2099446,,
Q3421496,Amaat Vyncke,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Amaat%20Vyncke.jpg,Zedelgem,Zedelgem,"51.1431,3.1361",51.1431,51.1431,3.1361,3.1361,België,Kibanga,Tanzania,,,,,Q3421496,,
Q970036,Amand Neut,Person,,Moorsele,Moorsele,"50.8403,3.1636",50.8403,50.8403,3.1636,3.1636,België,Gent,België,,,,,Q970036,,
Q2481707,Amand de Vos,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Wazenaar%20Amand%20de%20Vos.jpg,Eksaarde,Eksaarde,"51.1469,3.9592",51.1469,51.1469,3.9592,3.9592,België,Gent,België,,,,,Q2481707,,
Q136750770,Amandus Cornelius Dequidt,Person,,Poperinge,Poperinge,"50.8547,2.7256",50.8547,50.8547,2.7256,2.7256,België,Poperinge,België,,,,,Q136750770,,
Q115831039,Amandus Devloo,Person,,Alveringem,Alveringem,"51.0111,2.7108",51.0111,51.0111,2.7108,2.7108,België,Lichtervelde,België,,,,,Q115831039,,
Q124619468,Amelia Vander Stichele,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Schilderij%20Henri%20Dobbelaere%20Engelendale.jpg,Sint-Eloois-Winkel,Sint-Eloois-Winkel,"50.875,3.1803",50.875,50.875,3.1803,3.1803,België,Mariakerke,België,,,,,Q124619468,,
Q1280942,Amédée Visart de Bocarmé,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20burgemeester%20Am%C3%A9d%C3%A9e%20Visart%20de%20Bocarm%C3%A9%2C%20circa%201837%20-%20circa%201924%2C%20Groeningemuseum%2C%200041286000.jpg,Sint-Kruis,Saint Croix,"17.732,-64.748",17.732,17.732,-64.748,-64.748,België,Brugge,België,,,,,Q1280942,,
Q131923924,Amélie Emérentine Joseph Mullier,Person,,Moeskroen,Arrondissement of Mouscron,"50.75,3.2",50.75,50.75,3.2,3.2,België,Menen,België,,,,,Q131923924,,
Q122831276,Amélie Frère,Person,,Tongeren,Arrondissement of Tongeren,"50.85,5.5",50.85,50.85,5.5,5.5,België,Flône,België,,,,,Q122831276,,
Q119039774,Andries J. Winkler,Person,,Leeuwarden,Leeuwarden,"53.2,5.7833333333333",53.2,53.2,5.7833333333333,5.7833333333333,Nederland,Haarlem,Nederland,,,,,Q119039774,,
Q13429634,Angelus August Eugeen Angillis,Person,,,,,,,,,,,,,,,,Q13429634,,
Q115842281,Angelus Dumelie,Person,,Poperinge,Poperinge,"50.8547,2.7256",50.8547,50.8547,2.7256,2.7256,België,Kortrijk,België,,,,,Q115842281,,
Q123050649,Ann Jordan,Person,,Engeland,England,"53,-1",53,53,-1,-1,Verenigd Koninkrijk,,,,,,,Q123050649,,
Q116656531,Anna Demets,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Portretfoto%20Anna%20Demets.jpg,Kortrijk,Kortrijk,"50.8275,3.265833333333333",50.8275,50.8275,3.265833333333333,3.265833333333333,België,,,,,,,Q116656531,,
