person,personLabel,relatieItemLabel,richting,wikidataLink,wikipediaLink,commonsLink,image,bioPortaalLink,viafLink
http://www.wikidata.org/entity/Q20902372,Karel Lateur,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q20902372,https://nl.wikipedia.org/wiki/Karel_Lateur,https://commons.wikimedia.org/wiki/Category:Karel Lateur,http://commons.wikimedia.org/wiki/Special:FilePath/Karel%20Lateur.jpg,,
http://www.wikidata.org/entity/Q115819088,Karel Legein,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q115819088,,,,,
http://www.wikidata.org/entity/Q115819088,Karel Legein,student van,Persoon naar Guido,https://www.wikidata.org/wiki/Q115819088,,,,,
http://www.wikidata.org/entity/Q125234939,Karel Lodewijk De Vriese,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q125234939,,,,,
http://www.wikidata.org/entity/Q125235774,Karel Lodewijk De Vriese,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q125235774,,,,,
http://www.wikidata.org/entity/Q111336261,Karel Van De Vyvere,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q111336261,,,,,
http://www.wikidata.org/entity/Q2542423,Karel de Gheldere,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q2542423,https://nl.wikipedia.org/wiki/Karel_de_Gheldere,,,,https://viaf.org/viaf/47638059
http://www.wikidata.org/entity/Q2542423,Karel de Gheldere,student van,Persoon naar Guido,https://www.wikidata.org/wiki/Q2542423,https://nl.wikipedia.org/wiki/Karel_de_Gheldere,,,,https://viaf.org/viaf/47638059
http://www.wikidata.org/entity/Q118289639,Katharine Woodlock,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q118289639,,,,,
http://www.wikidata.org/entity/Q119224999,Laura Perkins,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q119224999,,,,,
http://www.wikidata.org/entity/Q118555164,Leo Lodewijk Hubert Simons,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q118555164,,,,,
http://www.wikidata.org/entity/Q119362208,Leon De Vriese,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q119362208,,,,,
http://www.wikidata.org/entity/Q115818781,Leon Verwilghen,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q115818781,,,,,
http://www.wikidata.org/entity/Q2779054,Leonard Lodewijk De Bo,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q2779054,https://nl.wikipedia.org/wiki/Leonard_Lodewijk_De_Bo,https://commons.wikimedia.org/wiki/Category:Leonard Lodewijk De Bo,http://commons.wikimedia.org/wiki/Special:FilePath/Leonard%20Lodewijk%20De%20Bo.jpg,,https://viaf.org/viaf/52063644
http://www.wikidata.org/entity/Q118998340,Leopold Pycke,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q118998340,,,,,
http://www.wikidata.org/entity/Q2619202,Leopold Slosse,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q2619202,https://nl.wikipedia.org/wiki/Leopold_Slosse,,,,
http://www.wikidata.org/entity/Q114945031,Livinus Bruneel,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q114945031,https://nl.wikipedia.org/wiki/Livinus_Bruneel,,,,
